调整时间,六个月,一年,一至三年,三至五年,五年以上
1996.5.1,9.72,,13.14,14.94,15.12
1996.8.23,9.18,10.08,10.98,11.7,12.42
1997.10.23,7.65,8.64,9.36,9.9,10.53
1998.3.25,7.02,7.92,9,9.72,10.35
1998.7.1,6.57,6.93,7.11,7.65,8.01
1998.12.7,6.12,6.39,6.66,7.2,7.56
1999.6.10,5.58,5.85,5.94,6.03,6.21
2002.2.21,5.04,5.31,5.49,5.58,5.76
2004.10.29,5.22,5.58,5.76,5.82,6.12
2006.4.28,5.4,5.85,6.03,6.12,6.39
2006.8.19,5.58,6.12,6.3,6.48,6.84
2007.3.18,5.67,6.39,6.57,6.75,7.11
2007.5.19,5.85,6.57,6.75,6.93,7.2
2007.7.21,6.03,6.84,7.02,7.2,7.38
2007.8.22,6.21,7.02,7.2,7.38,7.56
2007.9.15,6.48,7.29,7.47,7.65,7.83
2007.12.21,6.57,7.47,7.56,7.74,7.83
2008.9.16,6.21,7.2,7.29,7.56,7.74
2008.10.08,6.12,6.93,7.02,7.29,7.47
2008.10.30,6.03,6.66,6.75,7.02,7.2
2008.11.27,5.04,5.58,5.67,5.94,6.12
2008.12.23,4.86,5.31,5.4,5.76,5.94
2010.10.20,5.1,5.56,5.6,5.96,6.14
2010.12.26,5.35,5.81,5.85,6.22,6.4
2011.02.09,5.6,6.06,6.1,6.45,6.6
2011.04.06,5.85,6.31,6.4,6.65,6.8
2011.07.07,6.1,6.56,6.65,6.9,7.05
2012.06.08,5.85,6.31,6.4,6.65,6.8
2012.07.06,5.6,6,6.15,6.4,6.55
2014.11.22,5.6,5.6,6,6,6.15
2015.03.01,5.35,5.35,5.75,5.75,5.9
2015.05.11,5.1,5.1,5.5,5.5,5.65
2015.06.28,4.85,4.85,5.25,5.25,5.4
2015.08.26,4.6,4.6,5,5,5.15
2015.10.24,4.35,4.35,4.75,4.75,4.9